City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kodinar,0,IN,2019-04-01 03:33:39,67,20.79,70.7,73.28,4.85
Narrabri,0,AU,2019-04-01 03:00:00,31,-30.33,149.78,73.4,4.7
Saint-Pierre,0,FR,2019-04-01 03:32:04,87,48.95,4.24,51.8,10.29
Leiyang,80,CN,2019-04-01 03:33:41,100,26.42,112.85,56.81,4.85
Savannah Bight,0,HN,2019-04-01 03:33:41,97,16.45,-85.85,79.85,15.82
Morro Bay,1,US,2019-04-01 03:33:33,48,35.37,-120.85,64.0,14.99
Aswan,0,EG,2019-04-01 03:33:42,78,24.09,32.9,45.47,3.62
Bandarbeyla,76,SO,2019-04-01 03:33:42,100,9.49,50.81,77.78,2.62
Zhuhai,0,CN,2019-04-01 03:00:00,15,40.71,112.04,46.4,6.71
East London,75,ZA,2019-04-01 03:00:00,82,-33.02,27.91,62.6,18.34
Port Shepstone,48,ZA,2019-04-01 03:31:45,94,-30.74,30.45,72.11,9.55
Urengoy,68,RU,2019-04-01 03:33:43,96,65.96,78.37,28.55,12.35
Strezhevoy,75,RU,2019-04-01 03:00:00,92,60.73,77.6,30.2,17.9
La Libertad,40,PE,2019-04-01 03:00:00,62,-16.38,-71.56,59.0,4.7
Carnarvon,0,ZA,2019-04-01 03:33:44,46,-30.97,22.13,48.71,10.78
La Ronge,75,CA,2019-04-01 02:00:00,54,55.1,-105.3,32.0,2.24
Tiksi,8,RU,2019-04-01 03:33:45,78,71.64,128.87,29.45,8.21
Beringovskiy,88,RU,2019-04-01 03:33:45,96,63.05,179.32,32.6,16.26
Hasaki,75,JP,2019-04-01 03:30:28,30,35.73,140.83,63.0,8.05
Cabedelo,40,BR,2019-04-01 03:00:00,100,-6.97,-34.84,77.0,4.7
Aksarka,36,RU,2019-04-01 03:33:46,92,66.56,67.8,21.44,10.89
Santa Maria,40,BR,2019-04-01 02:00:00,100,-29.69,-53.81,69.8,3.36
Faanui,0,PF,2019-04-01 03:32:06,100,-16.48,-151.75,84.08,3.74
Necochea,36,AR,2019-04-01 03:26:08,79,-38.55,-58.74,64.99,1.01
Mahebourg,20,MU,2019-04-01 03:29:02,88,-20.41,57.7,75.99,6.93
Flin Flon,24,CA,2019-04-01 03:33:49,67,54.77,-101.88,24.41,3.96
Burkburnett,1,US,2019-04-01 03:30:19,56,34.1,-98.57,46.4,6.93
Ambilobe,88,MG,2019-04-01 03:32:49,100,-13.19,49.05,73.19,2.95
Geraldton,5,CA,2019-04-01 03:00:00,57,49.72,-86.95,23.0,8.05
Spodnja Idrija,0,SI,2019-04-01 03:33:48,83,46.03,14.02,57.0,2.24
Lebu,75,ET,2019-04-01 03:00:00,55,8.96,38.73,60.8,4.7
Severo-Kurilsk,76,RU,2019-04-01 03:33:50,100,50.68,156.12,29.63,2.06
Akdepe,0,TM,2019-04-01 03:00:00,80,42.05,59.39,35.6,2.24
Dubbo,0,AU,2019-04-01 03:33:51,82,-32.25,148.6,66.89,6.31
Samarai,92,PG,2019-04-01 03:30:33,100,-10.62,150.67,76.34,13.35
Karpogory,44,RU,2019-04-01 03:33:51,87,64.0,44.44,23.96,4.63
Okato,92,NZ,2019-04-01 03:30:51,75,-39.19,173.88,70.0,4.0
Castro,90,CL,2019-04-01 03:00:00,100,-42.48,-73.76,51.8,6.93
Baykit,92,RU,2019-04-01 03:33:53,91,61.68,96.39,33.95,12.12
Jacmel,44,HT,2019-04-01 03:25:15,89,18.24,-72.54,77.0,7.2
Grindavik,40,IS,2019-04-01 03:21:55,100,63.84,-22.43,32.0,13.87
Merauke,76,ID,2019-04-01 03:33:53,97,-8.49,140.4,82.1,8.21
Margate,20,AU,2019-04-01 03:33:16,41,-43.03,147.26,66.0,10.29
Do Gonbadan,90,IR,2019-04-01 03:00:00,63,30.36,50.8,66.2,33.33
Liverpool,75,GB,2019-04-01 03:33:07,75,53.41,-2.98,43.0,9.17
Narsaq,0,GL,2019-04-01 02:50:00,47,60.91,-46.05,14.0,11.41
Camocim,92,BR,2019-04-01 03:33:55,96,-2.9,-40.84,75.98,3.18
Lengshuitan,92,CN,2019-04-01 03:29:19,100,26.41,111.6,55.01,6.42
Ilulissat,0,GL,2019-04-01 02:50:00,56,69.22,-51.1,15.8,17.22
Cherskiy,0,RU,2019-04-01 03:29:51,68,68.75,161.3,16.13,3.96
Ossora,88,RU,2019-04-01 03:33:56,100,59.24,163.07,32.6,6.87
Klaksvik,80,FO,2019-04-01 02:50:00,86,62.23,-6.59,41.0,17.22
Sambava,44,MG,2019-04-01 03:33:57,100,-14.27,50.17,80.21,3.18
Bereda,0,ES,2019-04-01 03:30:56,93,43.27,-7.54,55.0,4.07
Kodiak,1,US,2019-04-01 03:32:10,40,39.95,-94.76,37.99,9.17
Mar del Plata,36,AR,2019-04-01 03:33:58,48,-46.43,-67.52,63.2,13.13
Port Macquarie,75,AU,2019-04-01 02:00:00,53,-31.43,152.91,71.6,4.7
Neiafu,75,TO,2019-04-01 03:00:00,88,-18.65,-173.98,80.6,6.93
La Ligua,0,CL,2019-04-01 03:00:00,82,-32.45,-71.23,59.0,2.95
Manaus,0,BR,2019-04-01 03:00:00,83,-3.13,-59.98,80.6,5.82
Iqaluit,75,CA,2019-04-01 03:22:01,84,63.75,-68.52,-0.01,3.36
Houma,0,CN,2019-04-01 03:33:59,27,35.63,111.36,63.83,2.84
Marsabit,0,KE,2019-04-01 03:31:22,66,2.34,37.99,72.2,5.86
Manbij,90,SY,2019-04-01 02:50:00,100,36.53,37.96,46.4,2.24
Vacha,88,RU,2019-04-01 03:34:00,91,55.8,42.77,35.75,10.45
Vila Franca do Campo,75,PT,2019-04-01 03:00:00,82,37.72,-25.43,55.4,12.75
Te Anau,48,NZ,2019-04-01 03:33:20,68,-45.41,167.72,49.25,12.24
Pregradnoye,32,RU,2019-04-01 03:34:01,81,45.82,41.75,34.85,11.9
Srednekolymsk,0,RU,2019-04-01 03:34:01,61,67.46,153.71,23.15,4.63
Qaqortoq,0,GL,2019-04-01 02:50:00,47,60.72,-46.03,14.0,11.41
Tynda,0,RU,2019-04-01 03:34:02,56,55.15,124.74,26.39,4.41
Pacifica,1,US,2019-04-01 03:30:26,87,37.61,-122.49,63.0,8.05
Coquimbo,0,CL,2019-04-01 03:00:00,77,-29.95,-71.34,59.0,8.05
Buchanan,75,LR,2019-04-01 03:00:00,94,5.88,-10.05,77.0,5.19
Kapaa,1,US,2019-04-01 03:33:27,51,22.08,-159.32,80.6,16.11
Along,92,IN,2019-04-01 03:29:33,96,28.17,94.8,56.36,1.72
Kirkland Lake,1,CA,2019-04-01 03:00:00,52,48.15,-80.03,17.6,6.93
Saint-Joseph,0,FR,2019-04-01 03:32:21,75,43.56,6.97,54.0,3.36
Amarante do Maranhao,100,BR,2019-04-01 03:34:05,98,-5.57,-46.74,70.49,3.18
Penukonda,0,IN,2019-04-01 03:34:05,56,14.08,77.6,79.22,4.18
Anloga,20,GH,2019-04-01 02:00:00,83,5.79,0.9,82.4,2.24
Ribeira Grande,64,PT,2019-04-01 03:34:06,100,38.52,-28.7,59.33,25.55
Valley Station,1,US,2019-04-01 03:34:04,56,33.35,-86.77,46.4,6.93
Noumea,75,NC,2019-04-01 03:00:00,62,-22.28,166.46,84.2,12.75
Marshfield,40,US,2019-04-01 03:31:48,80,42.09,-70.71,41.0,8.05
Montelimar,0,CR,2019-04-01 03:34:07,68,10.54,-84.57,77.87,4.85
Shahi,0,IN,2019-04-01 03:34:07,61,28.55,79.32,70.58,4.29
Gornyatskiy,0,RU,2019-04-01 03:34:07,76,48.29,40.96,31.34,5.08
Boa Vista,0,BR,2019-04-01 03:00:00,42,2.82,-60.67,86.0,8.05
Kushiro,75,JP,2019-04-01 03:00:00,44,43.11,144.15,39.2,13.87
Upata,0,VE,2019-04-01 03:34:10,53,8.02,-62.41,81.56,10.78
Lorengau,88,PG,2019-04-01 03:34:10,94,-2.02,147.27,84.35,11.56
Dikson,76,RU,2019-04-01 03:34:10,97,73.51,80.55,30.17,19.39
Shunyi,0,CN,2019-04-01 03:00:00,14,40.13,116.65,57.2,4.47
Thompson,20,CA,2019-04-01 03:00:00,57,55.74,-97.86,21.2,6.93
Yangcun,0,CN,2019-04-01 03:30:06,64,29.98,118.17,57.99,3.18
Gamba,24,CN,2019-04-01 03:34:12,79,28.28,88.52,19.28,2.73
Davila,75,PH,2019-04-01 03:00:00,58,18.47,120.58,87.8,9.17
Kutum,0,SD,2019-04-01 03:34:12,26,14.2,24.66,59.24,10.67
Wilmington,1,US,2019-04-01 03:32:39,47,39.75,-75.55,39.0,18.34
Avanigadda,75,IN,2019-04-01 03:00:00,83,16.02,80.92,84.2,3.36
Sorland,75,NO,2019-04-01 02:50:00,92,67.67,12.69,30.2,4.7
Fortuna,75,ES,2019-04-01 03:32:21,93,38.18,-1.13,55.4,3.36
Vrangel,8,RU,2019-04-01 03:34:13,98,42.73,133.08,36.83,14.58
Abu Samrah,88,SY,2019-04-01 03:34:14,99,35.3,37.18,47.81,7.2
Butwal,0,NP,2019-04-01 03:34:14,34,27.7,83.45,78.05,3.51
Sumter,1,US,2019-04-01 03:30:36,30,33.92,-80.34,57.99,9.17
Avera,1,US,2019-04-01 03:34:07,57,33.19,-82.53,55.4,5.82
Ondjiva,76,AO,2019-04-01 03:34:15,76,-17.07,15.73,67.52,9.1
Kovur,0,IN,2019-04-01 03:34:15,43,14.5,79.99,85.61,3.4
Aitape,36,PG,2019-04-01 03:34:16,87,-3.15,142.36,84.26,9.89
Santa Isabel do Rio Negro,0,BR,2019-04-01 03:34:16,87,-0.41,-65.02,79.76,4.63
Regina,75,CA,2019-04-01 03:32:02,63,50.45,-104.62,28.4,4.7
Kimbe,68,PG,2019-04-01 03:34:17,100,-5.56,150.15,80.48,3.62
Camacha,40,PT,2019-04-01 03:00:00,82,33.08,-16.33,59.0,8.05
Lasa,40,CY,2019-04-01 03:32:17,93,34.92,32.53,50.0,6.93
Manokwari,68,ID,2019-04-01 03:30:37,96,-0.87,134.08,82.91,14.92
Pacific Grove,1,US,2019-04-01 03:33:45,62,36.62,-121.92,64.0,4.7
Saldanha,20,PT,2019-04-01 03:34:18,94,41.42,-6.55,39.8,2.62
Komsomolskiy,20,RU,2019-04-01 03:34:12,83,67.55,63.78,20.18,15.26
Namibe,0,AO,2019-04-01 03:34:18,100,-15.19,12.15,77.87,6.2
Fort Saint James,44,CA,2019-04-01 03:34:19,68,54.43,-124.25,38.81,3.51
Batsfjord,40,NO,2019-04-01 02:50:00,86,70.63,29.72,26.6,23.04
Namangan,76,UZ,2019-04-01 03:00:00,76,41.0,71.67,48.2,6.93
Shestakovo,20,RU,2019-04-01 03:34:19,75,56.49,103.96,39.26,4.74
Mecca,0,SA,2019-04-01 03:34:20,50,21.43,39.83,54.74,5.86
Two Hills,64,CA,2019-04-01 03:34:20,86,53.71,-111.75,26.75,4.74
Kon Tum,32,VN,2019-04-01 03:29:32,72,14.36,108.0,78.23,2.62
Kaitangata,32,NZ,2019-04-01 03:33:26,34,-46.28,169.85,62.01,21.99
Basoko,68,CD,2019-04-01 03:34:21,99,1.23,23.61,70.31,7.09
Trat,20,TH,2019-04-01 03:31:13,66,12.25,102.51,91.0,4.7
Sandy Bay,20,AU,2019-04-01 03:34:16,41,-42.9,147.33,66.0,10.29
Ust-Kut,24,RU,2019-04-01 03:34:22,74,56.78,105.75,37.46,3.96
Baiyin,0,CN,2019-04-01 03:00:00,13,36.55,104.13,55.4,2.24
Chaplygin,20,RU,2019-04-01 03:34:22,90,53.24,39.97,35.48,10.45
Ixtapa,5,MX,2019-04-01 03:30:12,88,20.71,-105.21,73.99,5.82
Nong Ki,20,TH,2019-04-01 03:33:58,55,14.69,102.54,91.4,4.7
Grand Gaube,20,MU,2019-04-01 03:34:03,88,-20.01,57.66,77.0,6.93
Kruisfontein,32,ZA,2019-04-01 03:34:23,91,-34.0,24.73,58.7,22.08
Male,8,UA,2019-04-01 03:34:24,87,50.74,33.7,41.15,11.01
Khor,0,RU,2019-04-01 03:34:24,84,47.88,134.96,32.15,6.2
Lima,0,PE,2019-04-01 03:22:17,78,-12.06,-77.04,71.6,18.34
Tiznit,68,MA,2019-04-01 03:34:25,94,29.7,-9.73,56.63,2.17
Deputatskiy,32,RU,2019-04-01 03:34:25,90,69.3,139.9,19.01,3.74
Dingle,0,PH,2019-04-01 03:34:26,43,11.0,122.67,88.13,13.24
Labytnangi,8,RU,2019-04-01 03:34:26,79,66.66,66.39,19.37,8.43
Dicabisagan,80,PH,2019-04-01 03:34:26,94,17.08,122.42,79.31,4.74
Doha,0,QA,2019-04-01 03:00:00,53,25.29,51.53,80.6,8.05
Touros,40,BR,2019-04-01 03:00:00,100,-5.2,-35.46,77.0,3.36
Norman Wells,90,CA,2019-04-01 03:00:00,94,65.28,-126.83,32.0,12.75
Erenhot,8,CN,2019-04-01 03:34:27,37,43.65,111.97,44.3,11.45
Pojuca,40,BR,2019-04-01 03:00:00,94,-12.42,-38.33,78.8,3.36
Oakdale,1,US,2019-04-01 03:29:54,45,37.77,-120.85,66.99,3.36
Dunedin,32,NZ,2019-04-01 03:30:39,38,-45.87,170.5,64.0,21.0
Havelock,1,US,2019-04-01 03:33:50,47,34.88,-76.9,59.0,6.93
Najran,0,SA,2019-04-01 03:00:00,33,17.54,44.22,71.6,2.24
Belaya Gora,0,RU,2019-04-01 03:34:29,98,68.54,146.19,20.81,4.18
Izumo,75,JP,2019-04-01 03:00:00,100,35.37,132.75,46.4,23.04
Mayo,40,CA,2019-04-01 03:00:00,42,63.59,-135.9,48.2,3.36
Dinan,20,FR,2019-04-01 03:33:12,100,48.45,-2.05,48.99,5.82
Emba,40,CY,2019-04-01 03:32:17,93,34.81,32.42,50.0,6.93
Fort Nelson,40,CA,2019-04-01 03:00:00,48,58.81,-122.69,41.0,3.36
Soyo,8,AO,2019-04-01 03:34:31,96,-6.13,12.37,78.05,3.62
Kalmunai,0,LK,2019-04-01 03:34:31,78,7.42,81.82,83.18,3.85
Barcelos,0,PT,2019-04-01 03:28:11,67,41.53,-8.62,59.0,4.7
Bosaso,12,SO,2019-04-01 03:31:17,100,11.28,49.18,77.78,12.57
Lasem,20,ID,2019-04-01 03:00:00,70,-6.99,112.52,86.0,4.7
Piracuruca,76,BR,2019-04-01 03:34:32,97,-3.93,-41.72,73.37,3.4
Ahipara,92,NZ,2019-04-01 03:34:32,100,-35.17,173.16,68.24,7.76
Vung Tau,32,VN,2019-04-01 03:30:51,87,10.35,107.08,85.25,14.36
Meadow Lake,24,CA,2019-04-01 03:34:33,62,54.13,-108.44,29.09,6.2
Pandan,0,PH,2019-04-01 03:34:33,96,11.72,122.09,80.66,17.94
Waipawa,92,NZ,2019-04-01 03:12:15,84,-39.94,176.59,69.01,13.24
Nhulunbuy,75,AU,2019-04-01 03:00:00,94,-12.18,136.78,78.8,10.29
Axim,8,GH,2019-04-01 03:34:34,100,4.87,-2.24,82.55,6.64
Portland,1,US,2019-04-01 03:27:17,62,45.52,-122.67,63.0,1.95
Pontassieve,0,IT,2019-04-01 03:34:31,86,43.78,11.44,53.01,2.24
Batemans Bay,12,AU,2019-04-01 03:31:27,58,-35.71,150.18,66.0,3.0
Oranjestad,20,AW,2019-04-01 03:00:00,83,12.52,-70.03,78.8,19.46
Calvinia,0,ZA,2019-04-01 03:34:35,85,-31.47,19.78,39.26,4.41
Kavieng,36,PG,2019-04-01 03:34:36,100,-2.57,150.8,82.46,7.87
Iquique,0,CL,2019-04-01 03:00:00,64,-20.22,-70.14,68.0,6.93
Rocha,64,UY,2019-04-01 03:34:36,96,-34.48,-54.34,59.51,3.96
Luau,8,CD,2019-04-01 03:34:36,85,-10.7,22.23,67.52,2.28
Tilichiki,88,RU,2019-04-01 03:34:37,91,60.47,166.1,34.4,13.13
